ds,y,Prediction,Forecast
2023-11-30,34007.64,11799.595703125,
2023-12-31,9769.83,18014.310546875,
2024-01-31,0.0,16364.5029296875,
2024-02-29,0.0,20426.32421875,
2024-03-31,0.0,20132.19140625,
2024-04-30,85460.84,17590.453125,
2024-05-31,37519.270000000004,19767.841796875,
2024-07-01,,,19767.84
2024-08-01,,,24185.92
2024-09-01,,,22202.4
2024-10-01,,,16292.56
2024-11-01,,,8311.25
2024-12-01,,,-800.99
2025-01-01,,,14530.1
2025-02-01,,,15392.08
2025-03-01,,,18031.62
2025-04-01,,,20653.26
2025-05-01,,,22086.15
2025-06-01,,,21510.29
